"logscore","variable","method","prior","S","h","id"
-1.58339196704902,"a","VB-Offline","None",10,1,1065
-1.03510645341339,"d","VB-Offline","None",10,1,1065
-1.58339196704902,"a","VB-Stream","None",10,1,1065
-1.03510645341339,"d","VB-Stream","None",10,1,1065
-5.19632524584546,"a","MCMC","None",10,1,1065
-4.30199648122837,"d","MCMC","None",10,1,1065
-1.44938322811067,"a","VB-Offline","None",10,2,1065
-1.27340362268604,"d","VB-Offline","None",10,2,1065
-1.44938322811067,"a","VB-Stream","None",10,2,1065
-1.27340362268604,"d","VB-Stream","None",10,2,1065
-4.90048141682464,"a","MCMC","None",10,2,1065
-14.7096923892569,"d","MCMC","None",10,2,1065
-2.66784628539423,"a","VB-Offline","None",10,3,1065
-1.48431402903836,"d","VB-Offline","None",10,3,1065
-2.66784628539423,"a","VB-Stream","None",10,3,1065
-1.48431402903836,"d","VB-Stream","None",10,3,1065
-10.3495582448962,"a","MCMC","None",10,3,1065
-43.1558863533828,"d","MCMC","None",10,3,1065
-2.18201163548221,"a","VB-Offline","None",10,4,1065
-1.8086350054543,"d","VB-Offline","None",10,4,1065
-2.18201163548221,"a","VB-Stream","None",10,4,1065
-1.8086350054543,"d","VB-Stream","None",10,4,1065
-8.28135883454714,"a","MCMC","None",10,4,1065
-38.2876139983078,"d","MCMC","None",10,4,1065
-2.35803381905705,"a","VB-Offline","None",10,5,1065
-1.88107538207538,"d","VB-Offline","None",10,5,1065
-2.35803381905705,"a","VB-Stream","None",10,5,1065
-1.88107538207538,"d","VB-Stream","None",10,5,1065
-8.80910534326007,"a","MCMC","None",10,5,1065
-8.01260391051446,"d","MCMC","None",10,5,1065
-0.965645219790129,"a","VB-Offline","None",10,6,1065
-2.0416301085593,"d","VB-Offline","None",10,6,1065
-0.965645219790129,"a","VB-Stream","None",10,6,1065
-2.0416301085593,"d","VB-Stream","None",10,6,1065
-1.26116395180487,"a","MCMC","None",10,6,1065
-14.0557025195196,"d","MCMC","None",10,6,1065
-1.51359561057045,"a","VB-Offline","None",10,7,1065
-2.27579710563696,"d","VB-Offline","None",10,7,1065
-1.51359561057045,"a","VB-Stream","None",10,7,1065
-2.27579710563696,"d","VB-Stream","None",10,7,1065
-4.60311267060839,"a","MCMC","None",10,7,1065
-12.4889303564154,"d","MCMC","None",10,7,1065
-1.39744759063831,"a","VB-Offline","None",10,8,1065
-2.18923314766235,"d","VB-Offline","None",10,8,1065
-1.39744759063831,"a","VB-Stream","None",10,8,1065
-2.18923314766235,"d","VB-Stream","None",10,8,1065
-3.88232948696342,"a","MCMC","None",10,8,1065
-9.16131989296138,"d","MCMC","None",10,8,1065
-1.046432735207,"a","VB-Offline","None",10,9,1065
-2.48505735588885,"d","VB-Offline","None",10,9,1065
-1.046432735207,"a","VB-Stream","None",10,9,1065
-2.48505735588885,"d","VB-Stream","None",10,9,1065
-1.82431346209348,"a","MCMC","None",10,9,1065
-66.8162023455836,"d","MCMC","None",10,9,1065
-1.68761968431453,"a","VB-Offline","None",10,10,1065
-2.91377058776479,"d","VB-Offline","None",10,10,1065
-1.68761968431453,"a","VB-Stream","None",10,10,1065
-2.91377058776479,"d","VB-Stream","None",10,10,1065
-5.64885879173916,"a","MCMC","None",10,10,1065
-62.314601736934,"d","MCMC","None",10,10,1065
-2.80501992431536,"a","VB-Offline","None",10,11,1065
-2.4766347117635,"d","VB-Offline","None",10,11,1065
-2.80501992431536,"a","VB-Stream","None",10,11,1065
-2.4766347117635,"d","VB-Stream","None",10,11,1065
-11.1177180699716,"a","MCMC","None",10,11,1065
-261.53757295508,"d","MCMC","None",10,11,1065
-2.18337557283332,"a","VB-Offline","None",10,12,1065
-3.07586319786606,"d","VB-Offline","None",10,12,1065
-2.18337557283332,"a","VB-Stream","None",10,12,1065
-3.07586319786606,"d","VB-Stream","None",10,12,1065
-7.9629733415424,"a","MCMC","None",10,12,1065
-57.9372149775038,"d","MCMC","None",10,12,1065
-2.79545999851439,"a","VB-Offline","None",10,13,1065
-3.79999569441447,"d","VB-Offline","None",10,13,1065
-2.79545999851439,"a","VB-Stream","None",10,13,1065
-3.79999569441447,"d","VB-Stream","None",10,13,1065
-11.0202298945051,"a","MCMC","None",10,13,1065
-260.112055051333,"d","MCMC","None",10,13,1065
-1.40370144111984,"a","VB-Offline","None",10,14,1065
-4.48741041654677,"d","VB-Offline","None",10,14,1065
-1.40370144111984,"a","VB-Stream","None",10,14,1065
-4.48741041654677,"d","VB-Stream","None",10,14,1065
-4.13277770543286,"a","MCMC","None",10,14,1065
-66.7035395820914,"d","MCMC","None",10,14,1065
-0.948260366024849,"a","VB-Offline","None",10,15,1065
-4.23927162318732,"d","VB-Offline","None",10,15,1065
-0.948260366024849,"a","VB-Stream","None",10,15,1065
-4.23927162318732,"d","VB-Stream","None",10,15,1065
