"Method","variable","logscore"
"MCMC","xLogScore",-0.24463292474917
"VB","xLogScore",-0.973032576769041
"MCMC","xLogScore",-0.338293223704471
"VB","xLogScore",-0.372509329772954
"MCMC","xLogScore",0.0179780348740171
"VB","xLogScore",0.651605139426684
"MCMC","xLogScore",-0.69866438928427
"VB","xLogScore",-0.716767743000539
"MCMC","xLogScore",0.182164516964897
"VB","xLogScore",0.275617683217674
"MCMC","xLogScore",0.159528913461101
"VB","xLogScore",0.0639694059431994
"MCMC","xLogScore",0.0390561198879584
"VB","xLogScore",0.390494389370764
"MCMC","xLogScore",-0.451351385819889
"VB","xLogScore",-1.42032846498729
"MCMC","xLogScore",-0.711290151013074
"VB","xLogScore",-1.0514137356618
"MCMC","xLogScore",0.223668424500171
"VB","xLogScore",0.337930379069735
"MCMC","xLogScore",-0.0182149226607585
"VB","xLogScore",0.345976516644045
"MCMC","xLogScore",0.114944720475427
"VB","xLogScore",0.158951505192109
"MCMC","xLogScore",0.126519214257561
"VB","xLogScore",-0.115643559593123
"MCMC","xLogScore",0.132550024232873
"VB","xLogScore",0.32086781807941
"MCMC","xLogScore",-0.046242525082615
"VB","xLogScore",0.332519218588669
"MCMC","xLogScore",0.212008923740534
"VB","xLogScore",0.556141518588085
"MCMC","xLogScore",-0.469302096510057
"VB","xLogScore",0.158258978419539
"MCMC","xLogScore",-0.0920504376573452
"VB","xLogScore",-0.265346458448262
"MCMC","xLogScore",-0.0114369084057386
"VB","xLogScore",0.505153763168269
"MCMC","xLogScore",0.249968338584995
"VB","xLogScore",0.361469870301268
"MCMC","xLogScore",0.228148593498553
"VB","xLogScore",0.224693935788423
"MCMC","xLogScore",0.0768999487615015
"VB","xLogScore",0.441647456740522
"MCMC","xLogScore",-0.544119968897175
"VB","xLogScore",-0.211348714501261
"MCMC","xLogScore",-0.194303179584016
"VB","xLogScore",0.0151920754308792
"MCMC","xLogScore",-0.0316049927037286
"VB","xLogScore",0.341535405221537
"MCMC","xLogScore",0.103468880293937
"VB","xLogScore",0.209701679300043
"MCMC","xLogScore",-0.161799448604417
"VB","xLogScore",0.0120442672038532
"MCMC","xLogScore",-0.161292300433269
"VB","xLogScore",0.307401566574205
"MCMC","xLogScore",0.171632653005684
"VB","xLogScore",0.250320169085419
"MCMC","xLogScore",0.124731582348526
"VB","xLogScore",0.223978903936017
"MCMC","xLogScore",0.034580776684345
"VB","xLogScore",0.292105209985155
"MCMC","xLogScore",0.137014624721084
"VB","xLogScore",-0.150023112113132
"MCMC","xLogScore",0.0904126373717388
"VB","xLogScore",0.353806985452608
"MCMC","xLogScore",0.133211602007872
"VB","xLogScore",0.574770532820907
"MCMC","xLogScore",-0.546424240207553
"VB","xLogScore",-0.115394512483263
"MCMC","xLogScore",-1.53415514203035
"VB","xLogScore",-1.02957548520219
"MCMC","xLogScore",-0.36306895265577
"VB","xLogScore",0.361661789607907
"MCMC","xLogScore",-0.0517994105124294
"VB","xLogScore",-0.0846104750005585
"MCMC","xLogScore",0.092458669905842
"VB","xLogScore",0.404058126873258
"MCMC","xLogScore",-0.155148168860298
"VB","xLogScore",0.446277039277737
"MCMC","xLogScore",-0.337179083239708
"VB","xLogScore",0.0127693711494041
"MCMC","xLogScore",0.0643347949619885
"VB","xLogScore",0.437896961382546
"MCMC","xLogScore",-0.125667019498413
"VB","xLogScore",0.344077949277958
"MCMC","xLogScore",0.215307511565794
"VB","xLogScore",0.409543672764879
"MCMC","xLogScore",-0.17679766621313
"VB","xLogScore",0.478622978222845
"MCMC","xLogScore",-0.374996939554737
"VB","xLogScore",0.00481507619691257
"MCMC","xLogScore",0.102462587719115
"VB","xLogScore",-0.0366739548102069
"MCMC","xLogScore",-0.0842563762131181
"VB","xLogScore",-0.114863956996576
"MCMC","xLogScore",0.109073950362857
"VB","xLogScore",0.241872823959007
"MCMC","xLogScore",0.0641902491035407
"VB","xLogScore",0.451721759163157
"MCMC","xLogScore",0.144335533080083
"VB","xLogScore",0.184023645595361
"MCMC","xLogScore",-0.0521698152132823
"VB","xLogScore",0.11598452355379
"MCMC","xLogScore",0.179164889209536
"VB","xLogScore",0.468881846338906
"MCMC","xLogScore",-0.310464580134013
"VB","xLogScore",-0.630024999918925
"MCMC","xLogScore",-0.0244924686626093
"VB","xLogScore",0.274427291652934
"MCMC","xLogScore",-0.275265500538631
"VB","xLogScore",-0.143739864166365
"MCMC","xLogScore",-0.230696694017278
"VB","xLogScore",-0.215798587783262
"MCMC","xLogScore",-0.209270181355855
"VB","xLogScore",0.231239218133946
"MCMC","xLogScore",-0.714919409841173
"VB","xLogScore",-0.925777447021286
"MCMC","xLogScore",0.0226765308469236
"VB","xLogScore",-0.0335266201108284
"MCMC","xLogScore",0.273370799535035
"VB","xLogScore",0.25322403010973
"MCMC","xLogScore",-0.0018846830967956
"VB","xLogScore",-0.115063323307004
"MCMC","xLogScore",0.120845371906973
"VB","xLogScore",0.53254639029992
"MCMC","xLogScore",-0.277736075804686
"VB","xLogScore",0.335724000381364
"MCMC","xLogScore",-0.857746665025802
"VB","xLogScore",0.257152313314831
"MCMC","xLogScore",0.115109438578606
"VB","xLogScore",0.145864900486359
"MCMC","xLogScore",-0.104560468058039
"VB","xLogScore",-0.0125624685843591
"MCMC","xLogScore",-0.0270972851358572
"VB","xLogScore",0.0606742186586682
"MCMC","xLogScore",0.0220427821280732
"VB","xLogScore",-0.084085613516037
"MCMC","xLogScore",-0.862816141588594
"VB","xLogScore",-0.567111129809198
"MCMC","xLogScore",-0.0603131479130384
"VB","xLogScore",-0.165960044568643
"MCMC","xLogScore",-0.034451128140822
"VB","xLogScore",0.0115264989604162
"MCMC","xLogScore",0.0404138815827498
"VB","xLogScore",0.355610540473971
"MCMC","xLogScore",-0.158757510749399
"VB","xLogScore",0.219618752249845
"MCMC","xLogScore",0.122875146967627
"VB","xLogScore",-0.0966991820183136
"MCMC","xLogScore",-0.120752432720905
"VB","xLogScore",-1.25725736347617
"MCMC","xLogScore",0.139467970154902
"VB","xLogScore",0.367126747998925
"MCMC","xLogScore",0.0457620808240019
"VB","xLogScore",0.133442315798486
"MCMC","xLogScore",-0.238899621921505
"VB","xLogScore",0.15196518758384
"MCMC","xLogScore",0.163344241266664
"VB","xLogScore",0.162221868360564
"MCMC","xLogScore",0.0959892658825273
"VB","xLogScore",-0.241056215311527
"MCMC","xLogScore",-0.589238801374539
"VB","xLogScore",-0.237402054174429
"MCMC","xLogScore",-0.0308542550981789
"VB","xLogScore",0.401077450512782
"MCMC","xLogScore",0.0265902354404906
"VB","xLogScore",-0.325854645178677
"MCMC","xLogScore",-0.11849240941919
"VB","xLogScore",-0.376976398937015
"MCMC","xLogScore",0.165135669939457
"VB","xLogScore",0.338218955112871
"MCMC","xLogScore",-0.403110581734048
"VB","xLogScore",0.0435156488393494
"MCMC","xLogScore",0.136001818436566
"VB","xLogScore",0.0342490955319084
"MCMC","xLogScore",-0.0720719336463167
"VB","xLogScore",0.36659746697474
"MCMC","xLogScore",0.104392227388649
"VB","xLogScore",0.288803798662388
