"Method","variable","logscore"
"MCMC","xLogScore",0.311024301264964
"VB-BPF","xLogScore",0.173278222129703
"MCMC","xLogScore",-1.26814878512179
"VB-BPF","xLogScore",-1.01346817378459
"MCMC","xLogScore",-0.416849532241109
"VB-BPF","xLogScore",-0.245570059790505
"MCMC","xLogScore",-0.569322466109674
"VB-BPF","xLogScore",-0.078119591579914
"MCMC","xLogScore",-0.337712212379138
"VB-BPF","xLogScore",-0.145139772425192
"MCMC","xLogScore",0.0984786999935368
"VB-BPF","xLogScore",0.180608411995209
"MCMC","xLogScore",0.0732066436935456
"VB-BPF","xLogScore",0.112011156642046
"MCMC","xLogScore",0.187125111204559
"VB-BPF","xLogScore",0.241921107406839
"MCMC","xLogScore",-0.0058214750749859
"VB-BPF","xLogScore",0.252131766848922
"MCMC","xLogScore",0.107752584071881
"VB-BPF","xLogScore",0.222999178935075
"MCMC","xLogScore",-0.0476380491280536
"VB-BPF","xLogScore",0.313805630940821
"MCMC","xLogScore",-0.0455788833114039
"VB-BPF","xLogScore",0.264061092787465
"MCMC","xLogScore",-0.0144861716851117
"VB-BPF","xLogScore",0.100488227996395
"MCMC","xLogScore",0.0977580236760847
"VB-BPF","xLogScore",0.216575456830264
"MCMC","xLogScore",-1.365550728913
"VB-BPF","xLogScore",-0.36424082978589
"MCMC","xLogScore",-0.961653131815144
"VB-BPF","xLogScore",-0.795231142011857
"MCMC","xLogScore",0.0509963627277847
"VB-BPF","xLogScore",0.348982899357504
"MCMC","xLogScore",0.11269611853332
"VB-BPF","xLogScore",0.423094608791608
"MCMC","xLogScore",0.0175745290606714
"VB-BPF","xLogScore",0.104532458738766
"MCMC","xLogScore",-0.227377915176841
"VB-BPF","xLogScore",-0.0806460405051264
"MCMC","xLogScore",0.0314572916682136
"VB-BPF","xLogScore",0.119746598502739
"MCMC","xLogScore",0.288908291529618
"VB-BPF","xLogScore",-0.029630403191236
"MCMC","xLogScore",-1.36372687065522
"VB-BPF","xLogScore",-1.25881359367391
"MCMC","xLogScore",-0.160208388469917
"VB-BPF","xLogScore",0.225471371071716
"MCMC","xLogScore",-0.099190130861725
"VB-BPF","xLogScore",0.0809150567937824
"MCMC","xLogScore",0.129703565800218
"VB-BPF","xLogScore",0.324167690150271
"MCMC","xLogScore",-0.260869622677773
"VB-BPF","xLogScore",0.198768105649177
"MCMC","xLogScore",-0.0471620458505175
"VB-BPF","xLogScore",-0.37116198575145
"MCMC","xLogScore",-0.0445263925098639
"VB-BPF","xLogScore",-0.243937165746262
"MCMC","xLogScore",0.0413094635226095
"VB-BPF","xLogScore",0.137722096824522
"MCMC","xLogScore",-0.0702556837745769
"VB-BPF","xLogScore",0.666527161716406
"MCMC","xLogScore",-0.58581917213405
"VB-BPF","xLogScore",-0.0629605913556879
"MCMC","xLogScore",0.19826610597508
"VB-BPF","xLogScore",0.484867464927921
"MCMC","xLogScore",0.0605517368542284
"VB-BPF","xLogScore",0.716711330941724
"MCMC","xLogScore",0.107012254722269
"VB-BPF","xLogScore",0.153701177061535
"MCMC","xLogScore",-0.212222764952314
"VB-BPF","xLogScore",-0.476176828228791
"MCMC","xLogScore",0.0467595655858759
"VB-BPF","xLogScore",0.251367477896369
"MCMC","xLogScore",0.136642517074968
"VB-BPF","xLogScore",0.44188693182147
"MCMC","xLogScore",0.192399413973594
"VB-BPF","xLogScore",0.546937324154757
"MCMC","xLogScore",0.101291139968984
"VB-BPF","xLogScore",0.331336360471846
"MCMC","xLogScore",0.0155356290914562
"VB-BPF","xLogScore",-0.0137513794435141
"MCMC","xLogScore",-0.456772059553468
"VB-BPF","xLogScore",0.03469889951552
"MCMC","xLogScore",-0.141802426394654
"VB-BPF","xLogScore",-0.16701094594382
"MCMC","xLogScore",-0.188981851344935
"VB-BPF","xLogScore",-0.293453571025816
"MCMC","xLogScore",-0.0774010648547085
"VB-BPF","xLogScore",0.538534829567797
"MCMC","xLogScore",-0.899562575567472
"VB-BPF","xLogScore",-1.1386598620227
"MCMC","xLogScore",0.152033237872235
"VB-BPF","xLogScore",0.412572876326985
"MCMC","xLogScore",0.156231327685276
"VB-BPF","xLogScore",0.665345691143293
"MCMC","xLogScore",-0.149895578326251
"VB-BPF","xLogScore",0.0978248137215612
"MCMC","xLogScore",-0.0900164076075566
"VB-BPF","xLogScore",0.0302063155238816
"MCMC","xLogScore",0.115572758805978
"VB-BPF","xLogScore",0.367308337624477
"MCMC","xLogScore",-0.156332816611724
"VB-BPF","xLogScore",-0.0941087000450471
"MCMC","xLogScore",0.0253717796205745
"VB-BPF","xLogScore",0.249542605624227
"MCMC","xLogScore",0.0371848333864221
"VB-BPF","xLogScore",-0.0374919245275354
"MCMC","xLogScore",0.1820499750675
"VB-BPF","xLogScore",0.200736980810001
"MCMC","xLogScore",0.193652789613651
"VB-BPF","xLogScore",0.109424760278038
"MCMC","xLogScore",-0.346451138521294
"VB-BPF","xLogScore",-0.213120385234985
"MCMC","xLogScore",0.222582039589384
"VB-BPF","xLogScore",0.315657858345133
"MCMC","xLogScore",-1.04520957663756
"VB-BPF","xLogScore",-1.69295202824763
"MCMC","xLogScore",0.171865354592173
"VB-BPF","xLogScore",0.265052586567831
"MCMC","xLogScore",0.083226651358525
"VB-BPF","xLogScore",0.0341367428275668
"MCMC","xLogScore",0.139627178008835
"VB-BPF","xLogScore",0.369850168794409
"MCMC","xLogScore",0.0559170627848117
"VB-BPF","xLogScore",0.194797076756306
"MCMC","xLogScore",-0.00311718259697673
"VB-BPF","xLogScore",0.0095412465893987
"MCMC","xLogScore",-0.166922596370187
"VB-BPF","xLogScore",0.0713153580692553
"MCMC","xLogScore",0.171779256558666
"VB-BPF","xLogScore",0.0491619700829269
"MCMC","xLogScore",-0.262105959964479
"VB-BPF","xLogScore",0.078693092747284
"MCMC","xLogScore",-0.914306009963536
"VB-BPF","xLogScore",-0.272406394820458
"MCMC","xLogScore",-0.193593072597613
"VB-BPF","xLogScore",-0.289565048359771
"MCMC","xLogScore",0.155991209273129
"VB-BPF","xLogScore",0.173040973602926
"MCMC","xLogScore",-0.00578413130158079
"VB-BPF","xLogScore",0.0300582822811605
"MCMC","xLogScore",-0.304896314219612
"VB-BPF","xLogScore",-0.454095533719944
"MCMC","xLogScore",0.0795725438927896
"VB-BPF","xLogScore",0.0837995459217705
"MCMC","xLogScore",0.279454884262466
"VB-BPF","xLogScore",0.35711494012021
"MCMC","xLogScore",-0.413563076792656
"VB-BPF","xLogScore",-0.254740999520151
"MCMC","xLogScore",0.15220301888651
"VB-BPF","xLogScore",0.202211996091165
"MCMC","xLogScore",0.00864714640063072
"VB-BPF","xLogScore",0.106284433153795
"MCMC","xLogScore",0.22239416707253
"VB-BPF","xLogScore",0.218110893110638
"MCMC","xLogScore",0.0247545518790882
"VB-BPF","xLogScore",-0.20467856425041
"MCMC","xLogScore",0.0420209238325792
"VB-BPF","xLogScore",0.238402593819609
"MCMC","xLogScore",0.128615750261
"VB-BPF","xLogScore",0.14997714509637
"MCMC","xLogScore",0.191205840020834
"VB-BPF","xLogScore",0.193936446197396
"MCMC","xLogScore",0.200936922751438
"VB-BPF","xLogScore",0.15460421250811
"MCMC","xLogScore",-0.5106084317512
"VB-BPF","xLogScore",-0.193513934315049
"MCMC","xLogScore",0.0382664355229638
"VB-BPF","xLogScore",0.383634826692607
"MCMC","xLogScore",-0.606380223043826
"VB-BPF","xLogScore",-1.08783392332519
"MCMC","xLogScore",0.148853737172773
"VB-BPF","xLogScore",0.263671991980335
"MCMC","xLogScore",0.0751538700844553
"VB-BPF","xLogScore",0.466471600216045
"MCMC","xLogScore",0.0582000021343942
"VB-BPF","xLogScore",0.126266998178249
"MCMC","xLogScore",-0.79133646675701
"VB-BPF","xLogScore",-0.565409514588944
"MCMC","xLogScore",0.109600487882312
"VB-BPF","xLogScore",0.478073297136801
"MCMC","xLogScore",-0.689220623145708
"VB-BPF","xLogScore",-0.324980868447915
"MCMC","xLogScore",-0.852209485544876
"VB-BPF","xLogScore",-1.16923603658428
"MCMC","xLogScore",-0.447535249677577
"VB-BPF","xLogScore",-0.259276694850815
"MCMC","xLogScore",0.077933350482935
"VB-BPF","xLogScore",0.309972761059675
"MCMC","xLogScore",0.112636581476146
"VB-BPF","xLogScore",0.132716719198367
"MCMC","xLogScore",0.12380965204937
"VB-BPF","xLogScore",0.404259431475284
"MCMC","xLogScore",0.122328633949468
"VB-BPF","xLogScore",0.0636378174018861
"MCMC","xLogScore",0.105460422267999
"VB-BPF","xLogScore",0.481770730222741
"MCMC","xLogScore",0.28568183427957
"VB-BPF","xLogScore",0.171963595742046
"MCMC","xLogScore",0.128029915191847
"VB-BPF","xLogScore",0.439832376869489
"MCMC","xLogScore",-0.0860498575925473
"VB-BPF","xLogScore",-0.177191193783998
"MCMC","xLogScore",-0.546484023997363
"VB-BPF","xLogScore",-0.169391090956192
"MCMC","xLogScore",0.0671963368361071
"VB-BPF","xLogScore",0.0802533814339361
"MCMC","xLogScore",0.115810047752409
"VB-BPF","xLogScore",0.323199709356837
"MCMC","xLogScore",0.290875144104379
"VB-BPF","xLogScore",0.254050059883653
