"method","variable","statistic","value","iteration"
"PMMH","sigma^2","Mean",0.0125261614705604,1
"PMMH","mu","Mean",-0.580825457925692,1
"PMMH","phi","Mean",0.845100421082778,1
"PMMH","X[T+1]","Mean",-0.527660247979452,1
"PMMH","sigma^2","Variance",5.81938621038006e-05,1
"PMMH","mu","Variance",0.00673299515118939,1
"PMMH","phi","Variance",0.00776279916832856,1
"PMMH","X[T+1]","Variance",0.056013188097038,1
"PMMH","sigma^2","Mean",0.00994525095191475,2
"PMMH","mu","Mean",-0.437624752750085,2
"PMMH","phi","Mean",0.827891581560056,2
"PMMH","X[T+1]","Mean",-0.423955432843747,2
"PMMH","sigma^2","Variance",3.20958265833362e-05,2
"PMMH","mu","Variance",0.00581471112168767,2
"PMMH","phi","Variance",0.0108464201877076,2
"PMMH","X[T+1]","Variance",0.045405212769645,2
"PMMH","sigma^2","Mean",0.0132219866254621,3
"PMMH","mu","Mean",-0.364625087358423,3
"PMMH","phi","Mean",0.861998981403328,3
"PMMH","X[T+1]","Mean",-0.484118081343787,3
"PMMH","sigma^2","Variance",8.85200898236889e-05,3
"PMMH","mu","Variance",0.00750816679037388,3
"PMMH","phi","Variance",0.0073904835939796,3
"PMMH","X[T+1]","Variance",0.0794141408207556,3
"PMMH","sigma^2","Mean",0.0156087078072554,4
"PMMH","mu","Mean",-0.40633694880721,4
"PMMH","phi","Mean",0.866635608552004,4
"PMMH","X[T+1]","Mean",-0.456117122148432,4
"PMMH","sigma^2","Variance",0.000116285650997669,4
"PMMH","mu","Variance",0.00873652116799838,4
"PMMH","phi","Variance",0.00659035522318464,4
"PMMH","X[T+1]","Variance",0.0830062986526198,4
"PMMH","sigma^2","Mean",0.0123414567205162,5
"PMMH","mu","Mean",-0.478971008389127,5
"PMMH","phi","Mean",0.859890477916206,5
"PMMH","X[T+1]","Mean",-0.498926477950776,5
"PMMH","sigma^2","Variance",6.75714940721145e-05,5
"PMMH","mu","Variance",0.00573931172356101,5
"PMMH","phi","Variance",0.00620469998172856,5
"PMMH","X[T+1]","Variance",0.0622720884647624,5
"PMMH","sigma^2","Mean",0.0100671084998281,6
"PMMH","mu","Mean",-0.380738960331837,6
"PMMH","phi","Mean",0.84194795362452,6
"PMMH","X[T+1]","Mean",-0.366033617728923,6
